screen_name,text
realDonaldTrump,RT @GeraldoRivera: Recruit @realDonaldTrump to finish that horrid eyesore Meadowlands Xanadu &amp; cleanup NYs equally horrid Gowanus Canal. Tr
realDonaldTrump,".@GeraldoRivera Thanks, my champion Geraldo--and very true."
realDonaldTrump,"Trump signs lease for a NH office, returns Monday http://t.co/NLJQb8BmZB via  @UnionLeader by @tuohy"
realDonaldTrump,Excited to be travelling to New Hampshire on Monday. The Granite State is a model for the country. Live Free or Die!
realDonaldTrump,Via @thehill by @HenschOnTheHill: Trump says US roads are 'falling apart' http://t.co/MhuHz1Su1J
realDonaldTrump,RT @TrumpToronto: It's not luxury until you experience @Trumptoronto's service. Book your stay at http://t.co/hJ9agW5doT and experience #lu
HillaryClinton,"""We need their voices, we need their activism."" Hillary on the Black Lives Matter movement on @anotherround: http://t.co/R4FNFAWCJY"
HillaryClinton,Sending support to Tamir Rice's loved ones. Too many black families are mourning the loss of a child. We need to change that reality. -H
HillaryClinton,"Were not going to get over it, @JohnKasich, were going to protect Social Security for the next generation. https://t.co/IZrT8dWPRS"
HillaryClinton,".@Pharrell: Its Hillary time. http://t.co/fWqT513Esg
https://t.co/kpJ7qdn8SY"
HillaryClinton,As a woman...youre expected to be both strong and vulnerable at the same time. Thats not easy to do. -Hillary http://t.co/kLCYETQ9MG
